日期,注册天数,签到第几天,锁仓绩效积分,可用绩效积分,养老绩效积分,当前累计贡献值,,,,,,,,,,
2020年5月15日,76,7,187.850006,0.52,2.91,437905,,,,,,,,,,
日期,注册天数,登陆第几天,签到贡献值,阅读倍数,阅读贡献值,分享贡献值,广告贡献值,今日获取的总贡献值,转换比,贡献值转换成积分,释放比,释放积分,锁仓绩效积分,可用绩效积分,养老绩效积分,累计贡献值
2020年5月16日,76,7,1376,20,1260,50,160,2846,3190.179932,0.892113,0.002,0.377484,188.364624,0.821987,2.985497,440751
2020年5月17日,77,1,12,20,1260,50,160,1482,3190.179932,0.464551,0.002,0.377658,188.451523,1.124114,3.061029,442233
2020年5月18日,78,2,24,20,1260,50,160,1494,3190.179932,0.468312,0.002,0.37784,188.541992,1.426386,3.136597,443727
2020年5月19日,79,3,36,20,1260,50,160,1506,3190.179932,0.472074,0.002,0.378028,188.636047,1.728808,3.212202,445233
2020年5月20日,80,4,48,20,1260,50,160,1518,3190.179932,0.475835,0.002,0.378224,188.733658,2.031387,3.287847,446751
2020年5月21日,81,5,60,20,1260,50,160,1530,3190.179932,0.479597,0.002,0.378427,188.834824,2.334129,3.363532,448281
2020年5月22日,82,6,72,20,1260,50,160,1542,3190.179932,0.483358,0.002,0.378636,188.939545,2.637038,3.43926,449823
2020年5月23日,83,7,1376,20,1260,50,160,2846,3190.179932,0.892113,0.002,0.379663,189.451981,2.940768,3.515192,452669
2020年5月24日,84,1,12,20,1260,50,160,1482,3190.179932,0.464551,0.002,0.379833,189.536697,3.244635,3.591159,454151
2020年5月25日,85,2,24,20,1260,50,160,1494,3190.179932,0.468312,0.002,0.38001,189.625,3.548643,3.667161,455645
2020年5月26日,86,3,36,20,1260,50,160,1506,3190.179932,0.472074,0.002,0.380194,189.716888,3.852798,3.7432,457151
2020年5月27日,87,4,48,20,1260,50,160,1518,3190.179932,0.475835,0.002,0.380385,189.812332,4.157106,3.819277,458669
2020年5月28日,88,5,60,20,1260,50,160,1530,3190.179932,0.479597,0.002,0.380584,189.911346,4.461574,3.895394,460199
2020年5月29日,89,6,72,20,1260,50,160,1542,3190.179932,0.483358,0.002,0.380789,190.013916,4.766205,3.971551,461741
2020年5月30日,90,7,1376,20,1260,50,160,2846,3190.179932,0.892113,0.002,0.381812,190.524216,5.071655,4.047914,464587
2020年5月31日,91,1,12,20,1260,50,160,1482,3190.179932,0.464551,0.0015,0.286483,190.702286,5.300841,4.105211,466069
2020年6月1日,92,2,24,20,1260,50,160,1494,3190.179932,0.468312,0.0015,0.286756,190.883835,5.530246,4.162562,467563
2020年6月2日,93,3,36,20,1260,50,160,1506,3190.179932,0.472074,0.0015,0.287034,191.068878,5.759873,4.219969,469069
2020年6月3日,94,4,48,20,1260,50,160,1518,3190.179932,0.475835,0.0015,0.287317,191.257385,5.989727,4.277432,470587
2020年6月4日,95,5,60,20,1260,50,160,1530,3190.179932,0.479597,0.0015,0.287605,191.449371,6.219811,4.334953,472117
2020年6月5日,96,6,72,20,1260,50,160,1542,3190.179932,0.483358,0.0015,0.287899,191.644821,6.45013,4.392533,473659
2020年6月6日,97,7,1376,20,1260,50,160,2846,3190.179932,0.892113,0.0015,0.288805,192.248123,6.681175,4.450294,476505
2020年6月7日,98,1,12,20,1260,50,160,1482,3190.179932,0.464551,0.0015,0.289069,192.423615,6.91243,4.508108,477987
2020年6月8日,99,2,24,20,1260,50,160,1494,3190.179932,0.468312,0.0015,0.289338,192.602585,7.1439,4.565976,479481
2020年6月9日,100,3,36,20,1260,50,160,1506,3190.179932,0.472074,0.0015,0.289612,192.785049,7.375589,4.623898,480987
2020年6月10日,101,4,48,16,1020,50,160,1278,3190.179932,0.400604,0.0015,0.289778,192.895874,7.607412,4.681854,482265
2020年6月11日,102,5,60,16,1020,50,160,1290,3190.179932,0.404366,0.0015,0.28995,193.0103,7.839373,4.739844,483555
2020年6月12日,103,6,72,16,1020,50,160,1302,3190.179932,0.408127,0.0015,0.290128,193.128296,8.071475,4.797869,484857
2020年6月13日,104,7,1376,16,1020,50,160,2606,3190.179932,0.816882,0.0015,0.290918,193.654251,8.304209,4.856053,487463
2020年6月14日,105,1,12,16,1020,50,160,1242,3190.179932,0.38932,0.0015,0.291065,193.752502,8.537061,4.914266,488705
2020年6月15日,106,2,24,16,1020,50,160,1254,3190.179932,0.393081,0.0015,0.291218,193.85437,8.770036,4.97251,489959
2020年6月16日,107,3,36,16,1020,50,160,1266,3190.179932,0.396843,0.0015,0.291377,193.959824,9.003138,5.030785,491225
2020年6月17日,108,4,48,16,1020,50,160,1278,3190.179932,0.400604,0.0015,0.291541,194.068893,9.23637,5.089093,492503
2020年6月18日,109,5,60,16,1020,50,160,1290,3190.179932,0.404366,0.0015,0.29171,194.181549,9.469738,5.147435,493793
