日期,注册天数,签到第几天,锁仓绩效积分,可用绩效积分,养老绩效积分,当前累计贡献值,,,,,,,,,,
2020年6月19日,110,6,72,16,1020,50,160,1302,3190.179932,0.408127,0.0015,0.291885,194.297791,9.703245,5.205812,495095
2020年6月20日,111,7,1376,16,1020,50,160,2606,3190.179932,0.816882,0.0015,0.292672,194.821991,9.937383,5.264347,497701
2020年6月21日,112,1,12,16,1020,50,160,1242,3190.179932,0.38932,0.0015,0.292817,194.918488,10.171637,5.32291,498943
2020年6月22日,113,2,24,16,1020,50,160,1254,3190.179932,0.393081,0.0015,0.292967,195.0186,10.406011,5.381503,500197
2020年6月23日,114,3,36,16,1020,50,160,1266,3190.179932,0.396843,0.0015,0.293123,195.122314,10.64051,5.440128,501463
2020年6月24日,115,4,48,16,1020,50,160,1278,3190.179932,0.400604,0.0015,0.293284,195.22963,10.875137,5.498785,502741
2020年6月25日,116,5,60,16,1020,50,160,1290,3190.179932,0.404366,0.0015,0.293451,195.340546,11.109899,5.557475,504031
2020年6月26日,117,6,72,16,1020,50,160,1302,3190.179932,0.408127,0.0015,0.293623,195.455048,11.344797,5.616199,505333
2020年6月27日,118,7,1376,16,1020,50,160,2606,3190.179932,0.816882,0.0015,0.294408,195.977524,11.580323,5.675081,507939
2020年6月28日,119,1,12,16,1020,50,160,1242,3190.179932,0.38932,0.0015,0.29455,196.072281,11.815964,5.733991,509181
2020年6月29日,120,2,24,16,1020,50,160,1254,3190.179932,0.393081,0.0015,0.294698,196.17067,12.051723,5.79293,510435
2020年6月30日,121,3,36,16,1020,50,160,1266,3190.179932,0.396843,0.001,0.196568,196.370941,12.208977,5.832243,511701
2020年7月1日,122,4,48,16,1020,50,160,1278,3190.179932,0.400604,0.001,0.196772,196.574768,12.366394,5.871598,512979
2020年7月2日,123,5,60,16,1020,50,160,1290,3190.179932,0.404366,0.001,0.196979,196.782166,12.523977,5.910994,514269
2020年7月3日,124,6,72,16,1020,50,160,1302,3190.179932,0.408127,0.001,0.19719,196.993103,12.681729,5.950432,515571
2020年7月4日,125,7,1376,16,1020,50,160,2606,3190.179932,0.816882,0.001,0.19781,197.612167,12.839977,5.989994,518177
2020年7月5日,126,1,12,16,1020,50,160,1242,3190.179932,0.38932,0.001,0.198001,197.803482,12.998379,6.029594,519419
2020年7月6日,127,2,24,16,1020,50,160,1254,3190.179932,0.393081,0.001,0.198197,197.998367,13.156936,6.069234,520673
2020年7月7日,128,3,36,16,1020,50,160,1266,3190.179932,0.396843,0.001,0.198395,198.196808,13.315652,6.108913,521939
2020年7月8日,129,4,48,16,1020,50,160,1278,3190.179932,0.400604,0.001,0.198597,198.398819,13.47453,6.148633,523217
2020年7月9日,130,5,60,16,1020,50,160,1290,3190.179932,0.404366,0.001,0.198803,198.604385,13.633573,6.188393,524507
2020年7月10日,131,6,72,16,1020,50,160,1302,3190.179932,0.408127,0.001,0.199013,198.813507,13.792783,6.228196,525809
2020年7月11日,132,7,1376,16,1020,50,160,2606,3190.179932,0.816882,0.001,0.19963,199.430756,13.952487,6.268122,528415
2020年7月12日,133,1,12,16,1020,50,160,1242,3190.179932,0.38932,0.001,0.19982,199.620255,14.112343,6.308086,529657
2020年7月13日,134,2,24,16,1020,50,160,1254,3190.179932,0.393081,0.001,0.200013,199.813324,14.272353,6.348089,530911
2020年7月14日,135,3,36,16,1020,50,160,1266,3190.179932,0.396843,0.001,0.20021,200.009949,14.432521,6.388131,532177
2020年7月15日,136,4,48,16,1020,50,160,1278,3190.179932,0.400604,0.001,0.200411,200.210144,14.59285,6.428213,533455
2020年7月16日,137,5,60,16,1020,50,160,1290,3190.179932,0.404366,0.001,0.200615,200.41391,14.753342,6.468336,534745
2020年7月17日,138,6,72,16,1020,50,160,1302,3190.179932,0.408127,0.001,0.200822,200.621216,14.914,6.5085,536047
2020年7月18日,139,7,1376,16,1020,50,160,2606,3190.179932,0.816882,0.001,0.201438,201.236664,15.07515,6.548788,538653
2020年7月19日,140,1,12,16,1020,50,160,1242,3190.179932,0.38932,0.001,0.201626,201.424347,15.236451,6.589113,539895
2020年7月20日,141,2,24,16,1020,50,160,1254,3190.179932,0.393081,0.001,0.201817,201.615616,15.397905,6.629476,541149
2020年7月21日,142,3,36,12,780,50,160,1026,3190.179932,0.321612,0.001,0.201937,201.735291,15.559455,6.669864,542175
2020年7月22日,143,4,48,12,780,50,160,1038,3190.179932,0.325374,0.001,0.202061,201.858612,15.721104,6.710276,543213
2020年7月23日,144,5,60,12,780,50,160,1050,3190.179932,0.329135,0.001,0.202188,201.98555,15.882854,6.750713,544263
2020年7月24日,145,6,72,12,780,50,160,1062,3190.179932,0.332897,0.001,0.202318,202.116135,16.044708,6.791177,545325
2020年7月25日,146,7,1376,12,780,50,160,2366,3190.179932,0.741651,0.001,0.202858,202.654938,16.206995,6.831749,547691
2020年7月26日,147,1,12,12,780,50,160,1002,3190.179932,0.314089,0.001,0.202969,202.766052,16.36937,6.872343,548693
2020年7月27日,148,2,24,12,780,50,160,1014,3190.179932,0.31785,0.001,0.203084,202.880829,16.531837,6.91296,549707
2020年7月28日,149,3,36,12,780,50,160,1026,3190.179932,0.321612,0.001,0.203202,202.999237,16.694399,6.9536,550733
2020年7月29日,150,4,48,12,780,50,160,1038,3190.179932,0.325374,0.001,0.203325,203.121292,16.857059,6.994265,551771
2020年7月30日,151,5,60,12,780,50,160,1050,3190.179932,0.329135,0.0008,0.16276,203.287659,16.987268,7.026817,552821
2020年7月31日,152,6,72,12,780,50,160,1062,3190.179932,0.332897,0.0008,0.162896,203.457657,17.117586,7.059397,553883
2020年8月1日,153,7,1376,12,780,50,160,2366,3190.179932,0.741651,0.0008,0.163359,204.03595,17.248274,7.092069,556249
2020年8月2日,154,1,12,12,780,50,160,1002,3190.179932,0.314089,0.0008,0.16348,204.186554,17.379057,7.124764,557251
2020年8月3日,155,2,24,12,780,50,160,1014,3190.179932,0.31785,0.0008,0.163604,204.340805,17.509939,7.157485,558265
2020年8月4日,156,3,36,12,780,50,160,1026,3190.179932,0.321612,0.0008,0.16373,204.498688,17.640923,7.190231,559291
2020年8月5日,157,4,48,12,780,50,160,1038,3190.179932,0.325374,0.0008,0.163859,204.660202,17.772011,7.223003,560329
2020年8月6日,158,5,60,12,780,50,160,1050,3190.179932,0.329135,0.0008,0.163991,204.825348,17.903204,7.255801,561379
2020年8月7日,159,6,72,12,780,50,160,1062,3190.179932,0.332897,0.0008,0.164127,204.994125,18.034506,7.288627,562441
2020年8月8日,160,7,1376,12,780,50,160,2366,3190.179932,0.741651,0.0008,0.164589,205.571198,18.166176,7.321544,564807
2020年8月9日,161,1,12,12,780,50,160,1002,3190.179932,0.314089,0.0008,0.164708,205.720581,18.297943,7.354486,565809
2020年8月10日,162,2,24,12,780,50,160,1014,3190.179932,0.31785,0.0008,0.164831,205.873611,18.429808,7.387452,566823
2020年8月11日,163,3,36,12,780,50,160,1026,3190.179932,0.321612,0.0008,0.164956,206.030258,18.561773,7.420444,567849
2020年8月12日,164,4,48,12,780,50,160,1038,3190.179932,0.325374,0.0008,0.165085,206.190552,18.69384,7.45346,568887
2020年8月13日,165,5,60,12,780,50,160,1050,3190.179932,0.329135,0.0008,0.165216,206.354462,18.826014,7.486504,569937
2020年8月14日,166,6,72,12,780,50,160,1062,3190.179932,0.332897,0.0008,0.16535,206.522018,18.958294,7.519574,570999
2020年8月15日,167,7,1376,12,780,50,160,2366,3190.179932,0.741651,0.0008,0.165811,207.097855,19.090942,7.552736,573365
2020年8月16日,168,1,12,12,780,50,160,1002,3190.179932,0.314089,0.0008,0.16593,207.246017,19.223686,7.585922,574367
2020年8月17日,169,2,24,12,780,50,160,1014,3190.179932,0.31785,0.0008,0.166051,207.397827,19.356527,7.619132,575381
2020年8月18日,170,3,36,12,780,50,160,1026,3190.179932,0.321612,0.0008,0.166176,207.553268,19.489468,7.652367,576407
2020年8月19日,171,4,48,12,780,50,160,1038,3190.179932,0.325374,0.0008,0.166303,207.712341,19.622509,7.685628,577445
2020年8月20日,172,5,60,12,780,50,160,1050,3190.179932,0.329135,0.0008,0.166433,207.875046,19.755655,7.718915,578495
2020年8月21日,173,6,72,12,780,50,160,1062,3190.179932,0.332897,0.0008,0.166566,208.041382,19.888908,7.752228,579557
2020年8月22日,174,7,1376,12,780,50,160,2366,3190.179932,0.741651,0.0008,0.167026,208.616013,20.02253,7.785633,581923
2020年8月23日,175,1,12,12,780,50,160,1002,3190.179932,0.314089,0.0008,0.167144,208.762955,20.156244,7.819062,582925
2020年8月24日,176,2,24,12,780,50,160,1014,3190.179932,0.31785,0.0008,0.167265,208.913544,20.290056,7.852515,583939
2020年8月25日,177,3,36,12,780,50,160,1026,3190.179932,0.321612,0.0008,0.167388,209.067764,20.423967,7.885993,584965
2020年8月26日,178,4,48,12,780,50,160,1038,3190.179932,0.325374,0.0008,0.167515,209.225632,20.55798,7.919496,586003
2020年8月27日,179,5,60,12,780,50,160,1050,3190.179932,0.329135,0.0008,0.167644,209.387115,20.692095,7.953024,587053
2020年8月28日,180,6,72,12,780,50,160,1062,3190.179932,0.332897,0.0008,0.167776,209.552246,20.826315,7.986579,588115
2020年8月29日,181,7,1376,12,780,50,160,2366,3190.179932,0.741651,0.0006,0.126176,210.167725,20.927256,8.011815,590481
2020年8月30日,182,1,12,12,780,50,160,1002,3190.179932,0.314089,0.0006,0.126289,210.35553,21.028286,8.037073,591483
2020年8月31日,183,2,24,12,780,50,160,1014,3190.179932,0.31785,0.0006,0.126404,210.546982,21.12941,8.062354,592497
2020年9月1日,184,3,36,12,780,50,160,1026,3190.179932,0.321612,0.0006,0.126521,210.742065,21.230627,8.087658,593523
2020年9月2日,185,4,48,12,780,50,160,1038,3190.179932,0.325374,0.0006,0.12664,210.940796,21.33194,8.112986,594561
2020年9月3日,186,5,60,12,780,50,160,1050,3190.179932,0.329135,0.0006,0.126762,211.143173,21.43335,8.138338,595611
2020年9月4日,187,6,72,12,780,50,160,1062,3190.179932,0.332897,0.0006,0.126886,211.349182,21.534859,8.163715,596673
2020年9月5日,188,7,1376,12,780,50,160,2366,3190.179932,0.741651,0.0006,0.127255,211.963577,21.636662,8.189166,599039
2020年9月6日,189,1,12,12,780,50,160,1002,3190.179932,0.314089,0.0006,0.127367,212.150299,21.738554,8.21464,600041
2020年9月7日,190,2,24,8,540,50,160,774,3190.179932,0.24262,0.0006,0.127436,212.265472,21.840502,8.240127,600815
2020年9月8日,191,3,36,8,540,50,160,786,3190.179932,0.246381,0.0006,0.127507,212.384354,21.942507,8.265628,601601
2020年9月9日,192,4,48,8,540,50,160,798,3190.179932,0.250143,0.0006,0.127581,212.506912,22.044571,8.291144,602399
2020年9月10日,193,5,60,8,540,50,160,810,3190.179932,0.253904,0.0006,0.127657,212.633163,22.146696,8.316676,603209
2020年9月11日,194,6,72,8,540,50,160,822,3190.179932,0.257666,0.0006,0.127734,212.763092,22.248884,8.342223,604031
2020年9月12日,195,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0006,0.128058,213.301468,22.35133,8.367835,606157
2020年9月13日,196,1,12,8,540,50,160,762,3190.179932,0.238858,0.0006,0.128124,213.412201,22.453829,8.39346,606919
2020年9月14日,197,2,24,8,540,50,160,774,3190.179932,0.24262,0.0006,0.128193,213.526627,22.556383,8.419099,607693
2020年9月15日,198,3,36,8,540,50,160,786,3190.179932,0.246381,0.0006,0.128264,213.644745,22.658995,8.444752,608479
2020年9月16日,199,4,48,8,540,50,160,798,3190.179932,0.250143,0.0006,0.128337,213.766541,22.761663,8.470419,609277
2020年9月17日,200,5,60,8,540,50,160,810,3190.179932,0.253904,0.0006,0.128412,213.892029,22.864393,8.496101,610087
2020年9月18日,201,6,72,8,540,50,160,822,3190.179932,0.257666,0.0006,0.12849,214.021194,22.967186,8.521799,610909
2020年9月19日,202,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0006,0.128813,214.558807,23.070236,8.547562,613035
2020年9月20日,203,1,12,8,540,50,160,762,3190.179932,0.238858,0.0006,0.128879,214.668793,23.17334,8.573338,613797
2020年9月21日,204,2,24,8,540,50,160,774,3190.179932,0.24262,0.0006,0.128947,214.782455,23.276497,8.599127,614571
2020年9月22日,205,3,36,8,540,50,160,786,3190.179932,0.246381,0.0006,0.129017,214.899826,23.379711,8.62493,615357
2020年9月23日,206,4,48,8,540,50,160,798,3190.179932,0.250143,0.0006,0.12909,215.020874,23.482983,8.650748,616155
2020年9月24日,207,5,60,8,540,50,160,810,3190.179932,0.253904,0.0006,0.129165,215.145615,23.586315,8.676581,616965
2020年9月25日,208,6,72,8,540,50,160,822,3190.179932,0.257666,0.0006,0.129242,215.274033,23.689709,8.70243,617787
2020年9月26日,209,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0006,0.129564,215.810898,23.79336,8.728343,619913
2020年9月27日,210,1,12,8,540,50,160,762,3190.179932,0.238858,0.0006,0.12963,215.920135,23.897064,8.754269,620675
2020年9月28日,211,2,24,8,540,50,160,774,3190.179932,0.24262,0.0004,0.086465,216.076279,23.966236,8.771562,621449
2020年9月29日,212,3,36,8,540,50,160,786,3190.179932,0.246381,0.0004,0.086529,216.23613,24.03546,8.788867,622235
2020年9月30日,213,4,48,8,540,50,160,798,3190.179932,0.250143,0.0004,0.086595,216.399673,24.104734,8.806186,623033
2020年10月1日,214,5,60,8,540,50,160,810,3190.179932,0.253904,0.0004,0.086661,216.566925,24.174063,8.823518,623843
2020年10月2日,215,6,72,8,540,50,160,822,3190.179932,0.257666,0.0004,0.08673,216.737854,24.243446,8.840864,624665
2020年10月3日,216,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0004,0.086962,217.317322,24.313015,8.858256,626791
2020年10月4日,217,1,12,8,540,50,160,762,3190.179932,0.238858,0.0004,0.087022,217.469162,24.382633,8.875661,627553
2020年10月5日,218,2,24,8,540,50,160,774,3190.179932,0.24262,0.0004,0.087085,217.624695,24.452301,8.893078,628327
2020年10月6日,219,3,36,8,540,50,160,786,3190.179932,0.246381,0.0004,0.087148,217.783936,24.52202,8.910507,629113
2020年10月7日,220,4,48,8,540,50,160,798,3190.179932,0.250143,0.0004,0.087214,217.946854,24.591791,8.92795,629911
2020年10月8日,221,5,60,8,540,50,160,810,3190.179932,0.253904,0.0004,0.08728,218.11348,24.661615,8.945406,630721
2020年10月9日,222,6,72,8,540,50,160,822,3190.179932,0.257666,0.0004,0.087348,218.283798,24.731495,8.962875,631543
2020年10月10日,223,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0004,0.08758,218.86264,24.801559,8.980392,633669
2020年10月11日,224,1,12,8,540,50,160,762,3190.179932,0.238858,0.0004,0.087641,219.013855,24.871672,8.99792,634431
2020年10月12日,225,2,24,8,540,50,160,774,3190.179932,0.24262,0.0004,0.087703,219.168762,24.941833,9.015461,635205
2020年10月13日,226,3,36,8,540,50,160,786,3190.179932,0.246381,0.0004,0.087766,219.327377,25.012047,9.033014,635991
2020年10月14日,227,4,48,8,540,50,160,798,3190.179932,0.250143,0.0004,0.087831,219.489685,25.082312,9.05058,636789
2020年10月15日,228,5,60,8,540,50,160,810,3190.179932,0.253904,0.0004,0.087897,219.655701,25.15263,9.068159,637599
2020年10月16日,229,6,72,8,540,50,160,822,3190.179932,0.257666,0.0004,0.087965,219.825394,25.223001,9.085752,638421
2020年10月17日,230,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0004,0.088197,220.403625,25.293558,9.103392,640547
2020年10月18日,231,1,12,8,540,50,160,762,3190.179932,0.238858,0.0004,0.088257,220.55423,25.364164,9.121043,641309
2020年10月19日,232,2,24,8,540,50,160,774,3190.179932,0.24262,0.0004,0.088319,220.708527,25.43482,9.138707,642083
2020年10月20日,233,3,36,8,540,50,160,786,3190.179932,0.246381,0.0004,0.088382,220.866531,25.505526,9.156384,642869
2020年10月21日,234,4,48,8,540,50,160,798,3190.179932,0.250143,0.0004,0.088447,221.028229,25.576283,9.174073,643667
2020年10月22日,235,5,60,8,540,50,160,810,3190.179932,0.253904,0.0004,0.088513,221.193619,25.647093,9.191775,644477
2020年10月23日,236,6,72,8,540,50,160,822,3190.179932,0.257666,0.0004,0.088581,221.362701,25.717957,9.209492,645299
2020年10月24日,237,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0004,0.088812,221.940323,25.789005,9.227254,647425
2020年10月25日,238,1,12,8,540,50,160,762,3190.179932,0.238858,0.0004,0.088872,222.090317,25.860102,9.245028,648187
2020年10月26日,239,2,24,8,540,50,160,774,3190.179932,0.24262,0.0004,0.088933,222.244003,25.931248,9.262815,648961
2020年10月27日,240,3,36,8,540,50,160,786,3190.179932,0.246381,0.0004,0.088996,222.401398,26.002445,9.280615,649747
2020年10月28日,241,4,48,8,540,50,160,798,3190.179932,0.250143,0.0003,0.066795,222.584732,26.055882,9.293974,650545
2020年10月29日,242,5,60,8,540,50,160,810,3190.179932,0.253904,0.0003,0.066852,222.77179,26.109364,9.307344,651355
2020年10月30日,243,6,72,8,540,50,160,822,3190.179932,0.257666,0.0003,0.066909,222.96254,26.162891,9.320726,652177
2020年10月31日,244,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0003,0.067089,223.561874,26.216562,9.334145,654303
2020年11月1日,245,1,12,8,540,50,160,762,3190.179932,0.238858,0.0003,0.06714,223.733597,26.270275,9.347572,655065
2020年11月2日,246,2,24,8,540,50,160,774,3190.179932,0.24262,0.0003,0.067193,223.909012,26.32403,9.361011,655839
2020年11月3日,247,3,36,8,540,50,160,786,3190.179932,0.246381,0.0003,0.067247,224.08815,26.377827,9.37446,656625
2020年11月4日,248,4,48,8,540,50,160,798,3190.179932,0.250143,0.0003,0.067301,224.270981,26.431667,9.38792,657423
2020年11月5日,249,5,60,8,540,50,160,810,3190.179932,0.253904,0.0003,0.067357,224.457535,26.485554,9.401392,658233
2020年11月6日,250,6,72,8,540,50,160,822,3190.179932,0.257666,0.0003,0.067415,224.647781,26.539486,9.414875,659055
2020年11月7日,251,7,1376,8,540,50,160,2126,3190.179932,0.66642,0.0003,0.067594,225.246613,26.593561,9.428394,661181
2020年11月8日,252,1,12,4,300,50,160,522,3190.179932,0.163627,0.0003,0.067623,225.342606,26.647659,9.441919,661703
2020年11月9日,253,2,24,4,300,50,160,534,3190.179932,0.167389,0.0003,0.067653,225.442337,26.701782,9.45545,662237
2020年11月10日,254,3,36,4,300,50,160,546,3190.179932,0.17115,0.0003,0.067684,225.545807,26.75593,9.468987,662783
2020年11月11日,255,4,48,4,300,50,160,558,3190.179932,0.174912,0.0003,0.067716,225.653,26.810102,9.48253,663341
2020年11月12日,256,5,60,4,300,50,160,570,3190.179932,0.178673,0.0003,0.06775,225.763931,26.864302,9.496079,663911
2020年11月13日,257,6,72,4,300,50,160,582,3190.179932,0.182435,0.0003,0.067784,225.878586,26.91853,9.509636,664493
2020年11月14日,258,7,1376,4,300,50,160,1886,3190.179932,0.591189,0.0003,0.067941,226.401825,26.972881,9.523224,666379
2020年11月15日,259,1,12,4,300,50,160,522,3190.179932,0.163627,0.0003,0.06797,226.497482,27.027258,9.536818,666901
2020年11月16日,260,2,24,4,300,50,160,534,3190.179932,0.167389,0.0003,0.067999,226.596878,27.081657,9.550418,667435
2020年11月17日,261,3,36,4,300,50,160,546,3190.179932,0.17115,0.0003,0.06803,226.700012,27.136082,9.564024,667981
2020年11月18日,262,4,48,4,300,50,160,558,3190.179932,0.174912,0.0003,0.068062,226.806854,27.190531,9.577637,668539
2020年11月19日,263,5,60,4,300,50,160,570,3190.179932,0.178673,0.0003,0.068096,226.917435,27.245007,9.591256,669109
2020年11月20日,264,6,72,4,300,50,160,582,3190.179932,0.182435,0.0003,0.06813,227.031738,27.299511,9.604882,669691
2020年11月21日,265,7,1376,4,300,50,160,1886,3190.179932,0.591189,0.0003,0.068287,227.554642,27.354141,9.61854,671577
2020年11月22日,266,1,12,4,300,50,160,522,3190.179932,0.163627,0.0003,0.068315,227.649948,27.408794,9.632203,672099
2020年11月23日,267,2,24,4,300,50,160,534,3190.179932,0.167389,0.0003,0.068345,227.748993,27.46347,9.645872,672633
2020年11月24日,268,3,36,4,300,50,160,546,3190.179932,0.17115,0.0003,0.068376,227.851776,27.518171,9.659547,673179
2020年11月25日,269,4,48,4,300,50,160,558,3190.179932,0.174912,0.0003,0.068408,227.958282,27.572897,9.673228,673737
2020年11月26日,270,5,60,4,300,50,160,570,3190.179932,0.178673,0.0003,0.068441,228.068527,27.627649,9.686916,674307
2020年11月27日,271,6,72,4,300,50,160,582,3190.179932,0.182435,0.0002,0.04565,228.205307,27.664169,9.696047,674889
2020年11月28日,272,7,1376,4,300,50,160,1886,3190.179932,0.591189,0.0002,0.045759,228.750732,27.700777,9.705198,676775
2020年11月29日,273,1,12,4,300,50,160,522,3190.179932,0.163627,0.0002,0.045783,228.868576,27.737404,9.714355,677297
2020年11月30日,274,2,24,4,300,50,160,534,3190.179932,0.167389,0.0002,0.045807,228.990158,27.77405,9.723516,677831
2020年12月1日,275,3,36,4,300,50,160,546,3190.179932,0.17115,0.0002,0.045832,229.115479,27.810715,9.732682,678377
2020年12月2日,276,4,48,4,300,50,160,558,3190.179932,0.174912,0.0002,0.045858,229.244537,27.847401,9.741854,678935
2020年12月3日,277,5,60,4,300,50,160,570,3190.179932,0.178673,0.0002,0.045885,229.377335,27.884108,9.751031,679505
2020年12月4日,278,6,72,4,300,50,160,582,3190.179932,0.182435,0.0002,0.045912,229.513855,27.920837,9.760213,680087
2020年12月5日,279,7,1376,4,300,50,160,1886,3190.179932,0.591189,0.0002,0.046021,230.059021,27.957655,9.769417,681973
2020年12月6日,280,1,12,4,300,50,160,522,3190.179932,0.163627,0.0002,0.046045,230.17659,27.99449,9.778625,682495
2020年12月7日,281,2,24,4,300,50,160,534,3190.179932,0.167389,0.0002,0.046069,230.297913,28.031345,9.787839,683029
2020年12月8日,282,3,36,4,300,50,160,546,3190.179932,0.17115,0.0002,0.046094,230.422974,28.06822,9.797058,683575
2020年12月9日,283,4,48,4,300,50,160,558,3190.179932,0.174912,0.0002,0.04612,230.551773,28.105116,9.806282,684133
2020年12月10日,284,5,60,4,300,50,160,570,3190.179932,0.178673,0.0002,0.046146,230.684311,28.142033,9.815512,684703
2020年12月11日,285,6,72,4,300,50,160,582,3190.179932,0.182435,0.0002,0.046173,230.820572,28.178972,9.824746,685285
2020年12月12日,286,7,1376,4,300,50,160,1886,3190.179932,0.591189,0.0002,0.046282,231.365479,28.215998,9.834002,687171
2020年12月13日,287,1,12,4,300,50,160,522,3190.179932,0.163627,0.0002,0.046306,231.482788,28.253042,9.843264,687693
2020年12月14日,288,2,24,4,300,50,160,534,3190.179932,0.167389,0.0002,0.04633,231.603851,28.290106,9.85253,688227
2020年12月15日,289,3,36,4,300,50,160,546,3190.179932,0.17115,0.0002,0.046355,231.728653,28.32719,9.8618,688773
2020年12月16日,290,4,48,4,300,50,160,558,3190.179932,0.174912,0.0002,0.046381,231.857178,28.364294,9.871077,689331
