日期,注册天数,签到第几天,锁仓绩效积分,可用绩效积分,养老绩效积分,当前累计贡献值,,,,,,,,,,
2020年5月15日,76,7,187.850006,0.52,2.91,437905,,,,,,,,,,
日期,注册天数,登陆第几天,签到贡献值,阅读倍数,阅读贡献值,分享贡献值,广告贡献值,今日获取的总贡献值,转换比,贡献值转换成积分,释放比,释放积分,锁仓绩效积分,可用绩效积分,养老绩效积分,累计贡献值
2020年6月24日,115,4,48,16,1020,50,160,1278,5190.180176,0.246234,0.0015,0.281909,187.657227,10.667885,5.446972,502741
2020年6月25日,116,5,60,16,1020,50,160,1290,5190.180176,0.248546,0.0015,0.281859,187.623917,10.893372,5.503344,504031
2020年6月26日,117,6,72,16,1020,50,160,1302,5190.180176,0.250858,0.0015,0.281812,187.592957,11.118821,5.559706,505333
2020年6月27日,118,7,1376,16,1020,50,160,2606,5190.180176,0.502102,0.0015,0.282143,187.812927,11.344535,5.616135,507939
2020年6月28日,119,1,12,16,1020,50,160,1242,5190.180176,0.239298,0.0015,0.282078,187.770157,11.570197,5.67255,509181
2020年6月29日,120,2,24,16,1020,50,160,1254,5190.180176,0.24161,0.0015,0.282018,187.729752,11.795812,5.728954,510435
2020年6月30日,121,3,36,16,1020,50,160,1266,5190.180176,0.243922,0.001,0.187974,187.785706,11.946191,5.766549,511701
2020年7月1日,122,4,48,16,1020,50,160,1278,5190.180176,0.246234,0.001,0.188032,187.843903,12.096617,5.804155,512979
2020年7月2日,123,5,60,16,1020,50,160,1290,5190.180176,0.248546,0.001,0.188092,187.904358,12.24709,5.841774,514269
2020年7月3日,124,6,72,16,1020,50,160,1302,5190.180176,0.250858,0.001,0.188155,187.967056,12.397614,5.879405,515571
2020年7月4日,125,7,1376,16,1020,50,160,2606,5190.180176,0.502102,0.001,0.188469,188.280685,12.548389,5.917099,518177
2020年7月5日,126,1,12,16,1020,50,160,1242,5190.180176,0.239298,0.001,0.18852,188.331467,12.699205,5.954803,519419
2020年7月6日,127,2,24,16,1020,50,160,1254,5190.180176,0.24161,0.001,0.188573,188.384506,12.850064,5.992517,520673
2020年7月7日,128,3,36,16,1020,50,160,1266,5190.180176,0.243922,0.001,0.188628,188.439804,13.000967,6.030243,521939
2020年7月8日,129,4,48,16,1020,50,160,1278,5190.180176,0.246234,0.001,0.188686,188.497345,13.151916,6.06798,523217
2020年7月9日,130,5,60,16,1020,50,160,1290,5190.180176,0.248546,0.001,0.188746,188.557144,13.302913,6.10573,524507
2020年7月10日,131,6,72,16,1020,50,160,1302,5190.180176,0.250858,0.001,0.188808,188.619186,13.453959,6.143491,525809
2020年7月11日,132,7,1376,16,1020,50,160,2606,5190.180176,0.502102,0.001,0.189121,188.932175,13.605256,6.181315,528415
2020年7月12日,133,1,12,16,1020,50,160,1242,5190.180176,0.239298,0.001,0.189171,188.9823,13.756594,6.21915,529657
2020年7月13日,134,2,24,16,1020,50,160,1254,5190.180176,0.24161,0.001,0.189224,189.034683,13.907973,6.256994,530911
2020年7月14日,135,3,36,16,1020,50,160,1266,5190.180176,0.243922,0.001,0.189279,189.089325,14.059396,6.29485,532177
2020年7月15日,136,4,48,16,1020,50,160,1278,5190.180176,0.246234,0.001,0.189336,189.146225,14.210864,6.332717,533455
2020年7月16日,137,5,60,16,1020,50,160,1290,5190.180176,0.248546,0.001,0.189395,189.205383,14.36238,6.370596,534745
2020年7月17日,138,6,72,16,1020,50,160,1302,5190.180176,0.250858,0.001,0.189456,189.266785,14.513945,6.408487,536047
2020年7月18日,139,7,1376,16,1020,50,160,2606,5190.180176,0.502102,0.001,0.189769,189.579117,14.66576,6.446441,538653
2020年7月19日,140,1,12,16,1020,50,160,1242,5190.180176,0.239298,0.001,0.189818,189.628601,14.817615,6.484405,539895
2020年7月20日,141,2,24,16,1020,50,160,1254,5190.180176,0.24161,0.001,0.18987,189.680344,14.969511,6.522379,541149
